user_id,name,age,city,subscription_type
1,Кира,22,Тюмень,ultra
2,Станислав,31,Омск,ultra
3,Алексей,20,Москва,ultra
4,Константин,26,Ростов-на-Дону,ultra
5,Адель,28,Омск,ultra
6,Регина,25,Краснодар,ultra
7,Игорь,23,Омск,ultra
8,Юрий,23,Краснодар,ultra
9,Ян,21,Пятигорск,ultra
10,Валерий,18,Екатеринбург,ultra
11,Агата,31,Краснодар,ultra
12,Марк,27,Тюмень,ultra
13,Ева,24,Краснодар,ultra
14,Антонина,18,Пятигорск,ultra
15,Валерия,24,Тюмень,ultra
16,Амалия,27,Краснодар,ultra
17,Даниил,29,Москва,ultra
18,Аделина,24,Сочи,ultra
19,Регина,32,Тюмень,ultra
20,Игорь,23,Омск,ultra
21,Святогор,14,Ростов-на-Дону,ultra
22,Борис,19,Пятигорск,ultra
23,Игорь,25,Сочи,ultra
24,Вероника,27,Тюмень,ultra
25,Ростислав,26,Ростов-на-Дону,ultra
26,Назар,21,Омск,ultra
27,Эдуард,20,Краснодар,ultra
28,Василий,19,Пятигорск,ultra
29,Денис,20,Омск,ultra
30,Кира,29,Краснодар,ultra
31,Тамара,30,Ростов-на-Дону,ultra
32,Николай,24,Пятигорск,ultra
33,Эвелина,18,Сочи,ultra
34,Федор,17,Краснодар,ultra
35,Руслан,12,Пятигорск,ultra
36,Иван,23,Пятигорск,ultra
37,Любовь,27,Ростов-на-Дону,ultra
38,Ярослава,23,Сочи,ultra
39,Майя,23,Омск,ultra
40,Ильдар,21,Ростов-на-Дону,ultra
41,Данила,21,Екатеринбург,ultra
42,Нина,18,Екатеринбург,ultra
43,Стефания,22,Омск,ultra
44,Ясмина,25,Ростов-на-Дону,ultra
45,Дмитрий,31,Ростов-на-Дону,ultra
46,Александр,29,Пятигорск,ultra
47,Юрий,28,Тюмень,ultra
48,Ростислав,27,Ростов-на-Дону,ultra
49,Одиссей,17,Ростов-на-Дону,ultra
50,Арсений,35,Ростов-на-Дону,ultra
51,Алла,31,Ростов-на-Дону,ultra
52,Таисия,27,Омск,ultra
53,Максим,35,Тюмень,ultra
54,Юлиана,33,Краснодар,ultra
55,Павел,26,Краснодар,ultra
56,Ильдар,20,Тюмень,ultra
57,Агата,28,Ростов-на-Дону,ultra
58,Ян,22,Пятигорск,ultra
59,Карина,29,Екатеринбург,ultra
60,Алиса,19,Омск,ultra
61,Федор,32,Москва,ultra
62,Лидия,21,Пятигорск,ultra
63,Рамиль,19,Екатеринбург,ultra
64,Родион,31,Омск,ultra
65,Ника,23,Москва,ultra
66,Оксана,29,Тюмень,ultra
67,Анастасия,12,Ростов-на-Дону,ultra
68,Маргарита,27,Екатеринбург,ultra
69,Анастасия,22,Екатеринбург,ultra
70,Вера,32,Омск,ultra
71,Тимур,31,Сочи,ultra
72,Никита,25,Москва,ultra
73,Лев,23,Пятигорск,ultra
74,Арсений,19,Тюмень,ultra
75,Влад,18,Екатеринбург,ultra
76,Артур,17,Ростов-на-Дону,ultra
77,Анна,23,Пятигорск,ultra
78,Ростислав,21,Пятигорск,ultra
79,Ольга,22,Краснодар,ultra
80,Вячеслав,24,Екатеринбург,ultra
81,Павел,30,Омск,ultra
82,Максим,19,Ростов-на-Дону,ultra
83,Ксения,23,Омск,ultra
84,Анна,13,Екатеринбург,ultra
85,Стефания,26,Тюмень,ultra
86,Виталина,26,Екатеринбург,ultra
87,Владислав,29,Сочи,ultra
88,Алла,29,Тюмень,ultra
89,Тимур,28,Омск,ultra
90,Тамерлан,24,Пятигорск,ultra
91,Вера,32,Екатеринбург,ultra
92,Амина,25,Тюмень,ultra
93,Вадим,25,Пятигорск,ultra
94,Олеся,20,Екатеринбург,ultra
95,Зарина,29,Сочи,ultra
96,Егор,19,Тюмень,ultra
97,Нина,22,Москва,ultra
98,Марк,21,Пятигорск,ultra
99,Гордей,24,Москва,ultra
100,Вячеслав,24,Омск,ultra
101,Ника,28,Москва,ultra
102,Лилия,21,Краснодар,ultra
103,Святослав,28,Ростов-на-Дону,ultra
104,Роберт,22,Пятигорск,ultra
105,Одиссей,26,Сочи,ultra
106,Амир,31,Екатеринбург,ultra
107,Данила,26,Екатеринбург,ultra
108,Влада,29,Тюмень,ultra
109,Марк,27,Краснодар,ultra
110,Егор,23,Тюмень,ultra
111,Адель,20,Москва,ultra
112,Святослав,24,Краснодар,ultra
113,Богдан,18,Сочи,ultra
114,Святослав,24,Тюмень,ultra
115,Полина,25,Москва,ultra
116,Марат,28,Москва,ultra
117,Елисей,20,Ростов-на-Дону,ultra
118,Рамиль,25,Екатеринбург,ultra
119,Макар,18,Екатеринбург,ultra
120,Рамиль,26,Пятигорск,ultra
121,Алина,25,Пятигорск,ultra
122,Глеб,29,Пятигорск,ultra
123,Станислав,25,Сочи,ultra
124,Регина,29,Краснодар,ultra
125,Андрей,20,Тюмень,ultra
126,Родион,19,Тюмень,ultra
127,Павел,25,Пятигорск,ultra
128,Лидия,24,Ростов-на-Дону,ultra
129,Альбина,26,Пятигорск,ultra
130,Алексей,22,Краснодар,ultra
131,Алексей,27,Омск,ultra
132,Влада,24,Омск,ultra
133,Дмитрий,23,Омск,ultra
134,Людмила,28,Москва,ultra
135,Тамара,22,Краснодар,ultra
136,Марсель,25,Тюмень,ultra
137,Нина,24,Москва,ultra
138,Милена,22,Омск,ultra
139,Оксана,30,Москва,ultra
140,Тамара,24,Тюмень,ultra
141,Диана,19,Москва,ultra
